	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_10_0.txt	10	0	2.66955	2.50747	2.09231	1.21653	2.71944	1.46067	1.42827	2.66795	2.24327	1.34702	2.87781	1.49512	2.37599	2.14726	1.20129	2.07854	2.01194	1.52836	2.40234	0.83539	2.4186	1.60687	2.45099	2.18899	1.39048	1.67016	1.07036	1.33653	2.55503	2.76871	2.50352	1.67964	2.21643	1.36446	2.47222	1.46684	1.67196	2.18306	1.02949	1.98315	2.99003	3.39497	1.50581	1.91959	1.6458	1.46684	2.71264	1.33168	1.5564	1.49274
alpha_rarefaction_10_1.txt	10	1	2.88984	2.52657	1.77561	1.77628	1.13281	1.29338	2.1116	2.33392	1.41881	2.31322	1.96005	0.93979	1.82639	1.74829	1.55731	1.80231	1.22367	1.2106	2.87069	1.76331	1.45207	1.60233	1.23612	2.3991	1.1545	3.06185	0.92994	1.51199	2.80955	2.30774	2.13448	2.87087	1.97747	1.45811	2.0469	1.46684	1.46906	1.71289	0.99399	2.60544	2.52221	2.32852	2.10944	1.29119	1.45857	1.46684	3.0928	2.38381	1.68089	1.64958
alpha_rarefaction_10_2.txt	10	2	2.73589	2.41009	1.64357	1.17907	1.65202	1.27192	2.24352	2.2323	2.05852	0.80469	1.60317	1.03502	1.84468	1.80075	1.51127	1.96562	1.5377	1.81218	2.87069	1.32703	1.92036	2.10102	1.87415	2.18928	1.22407	1.95929	0.90907	0.77738	2.74916	2.50076	2.59258	2.72158	2.11261	1.55233	2.37015	2.13503	1.53824	1.61777	1.02949	1.54768	3.07537	2.26913	1.91271	1.63421	1.41206	1.76158	3.38048	2.42383	1.90834	1.51245
alpha_rarefaction_10_3.txt	10	3	2.64606	2.89984	2.20391	2.22401	1.34044	1.81669	1.84893	2.28318	1.76152	1.46226	1.96113	2.34761	2.35157	2.06753	1.36692	2.12346	1.80043	1.42315	2.83429	1.27507	1.89929	1.60259	1.8634	2.18899	1.34922	1.35728	1.05252	1.02194	3.12826	2.23036	2.65339	3.01787	1.73187	1.24112	2.60534	2.32494	1.32923	2.02262	1.9674	2.00619	1.45061	1.45682	1.84446	0.90933	1.41206	1.80027	2.56237	2.94984	1.4165	1.10136
alpha_rarefaction_10_4.txt	10	4	2.425	1.91179	2.31652	1.97659	2.13985	1.63727	2.11635	2.74564	2.67159	1.44743	2.49828	2.01003	1.84285	2.05419	1.66579	1.62481	0.94628	1.72512	3.04242	0.83539	1.45207	2.30575	1.92345	2.18928	1.40778	1.69182	1.78497	1.6021	3.24968	2.80061	3.38132	2.58025	2.31817	1.6888	1.82751	1.46684	2.01845	1.72217	1.84644	2.04135	3.28704	1.03217	1.88011	1.76958	1.38675	1.46684	2.73084	1.20556	1.74377	1.40434
alpha_rarefaction_10_5.txt	10	5	2.98822	2.3697	2.32692	1.60709	1.06294	1.47027	2.06441	1.44082	1.45446	1.4936	1.67283	1.74716	2.18668	1.66133	1.66777	1.67362	1.10727	1.44869	3.04258	1.15434	2.38764	1.60687	1.27031	2.18899	2.01453	1.71881	2.20014	1.33653	2.81918	2.47417	1.4255	1.27512	2.31172	1.54242	2.83796	2.32494	1.21259	2.15031	0.88959	2.74341	3.05904	2.11901	1.57476	0.90933	1.74882	1.46684	2.72954	1.76215	2.17137	1.68301
alpha_rarefaction_10_6.txt	10	6	2.35682	1.84336	1.42378	2.16551	1.87734	1.31569	2.43489	2.207	2.34514	1.30865	2.24843	2.47125	2.29928	1.77886	1.66777	2.38165	1.03464	1.15434	2.43616	1.27507	1.84389	1.90346	2.04236	2.64115	1.39048	2.60693	1.3378	2.43437	2.43175	2.98015	3.04839	2.085	2.0883	1.64042	1.92468	2.32494	1.84925	1.3926	1.53514	2.19099	3.26421	2.38005	2.32791	1.63065	1.41206	1.80027	3.12668	3.00053	1.53149	1.49274
alpha_rarefaction_10_7.txt	10	7	2.70075	2.1262	2.1944	1.70934	1.57661	1.27164	1.75104	2.06249	2.24022	1.57213	1.5541	1.49117	2.02992	2.13886	1.51127	1.40164	1.10636	1.13181	2.33753	0.83539	1.93794	1.60233	2.26532	2.3897	1.28263	1.91855	2.20746	1.37128	2.41376	3.03302	1.31023	2.80748	2.32582	1.44326	1.94643	2.32494	1.54826	1.92243	0.99399	2.21537	2.6345	2.42929	2.13157	1.63065	1.41206	1.46684	2.75802	2.52051	1.4861	1.46793
alpha_rarefaction_10_8.txt	10	8	1.19908	2.64973	1.91877	1.89451	1.9629	1.68294	1.96808	2.00908	2.15342	1.49801	1.44162	1.01527	1.59848	1.53477	1.68825	1.58914	1.50325	1.48069	2.47552	1.15895	1.45207	1.53754	1.67985	2.18928	0.83555	1.61482	2.20014	1.33653	2.76413	2.4166	2.54965	0.88959	2.27482	1.85061	1.16929	2.4529	2.23391	1.71626	0.88959	2.32222	2.6617	1.88673	2.44336	1.70071	1.42887	1.46684	3.23231	1.87179	1.46183	1.69084
alpha_rarefaction_10_9.txt	10	9	2.86596	1.98067	2.39972	2.06208	1.06294	2.00588	2.02767	1.30804	1.08919	1.62799	1.94382	2.38053	1.77937	1.33609	1.66579	1.76194	0.97421	1.50271	2.91579	1.27507	1.45207	1.53769	1.56661	3.38532	1.42463	1.55111	1.14596	0.77738	2.67612	2.39374	2.78244	1.51857	1.73196	1.14358	2.65632	1.46684	1.67051	1.53514	0.88959	2.10528	2.86528	2.39128	1.64051	1.63421	1.74193	1.54331	2.38076	2.96997	2.01081	1.69314
