	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_10_0.txt	10	0	8.0	4.0	6.0	5.0	7.0	5.0	6.0	7.0	6.0	2.0	8.0	5.0	6.0	9.0	2.0	6.0	6.0	7.0	5.0	2.0	5.0	5.0	8.0	3.0	4.0	8.0	4.0	2.0	7.0	7.0	7.0	5.0	8.0	4.0	6.0	2.0	6.0	6.0	3.0	7.0	9.0	8.0	4.0	4.0	4.0	2.0	6.0	4.0	4.0	5.0
alpha_rarefaction_10_1.txt	10	1	7.0	4.0	6.0	5.0	2.0	4.0	7.0	7.0	6.0	6.0	8.0	3.0	8.0	8.0	5.0	6.0	5.0	5.0	6.0	4.0	2.0	4.0	4.0	4.0	4.0	7.0	2.0	2.0	6.0	8.0	8.0	6.0	7.0	4.0	5.0	2.0	5.0	4.0	3.0	9.0	8.0	6.0	9.0	3.0	3.0	2.0	7.0	7.0	7.0	5.0
alpha_rarefaction_10_2.txt	10	2	7.0	6.0	7.0	5.0	4.0	5.0	7.0	7.0	6.0	2.0	8.0	6.0	5.0	6.0	3.0	5.0	6.0	6.0	7.0	4.0	4.0	5.0	6.0	4.0	4.0	6.0	1.0	1.0	7.0	8.0	7.0	4.0	7.0	6.0	5.0	3.0	5.0	3.0	3.0	6.0	10.0	6.0	6.0	4.0	2.0	4.0	7.0	7.0	6.0	5.0
alpha_rarefaction_10_3.txt	10	3	8.0	6.0	7.0	8.0	3.0	6.0	6.0	6.0	6.0	3.0	8.0	8.0	8.0	9.0	2.0	7.0	6.0	6.0	5.0	3.0	4.0	5.0	6.0	3.0	4.0	6.0	3.0	2.0	7.0	9.0	6.0	8.0	5.0	5.0	6.0	3.0	4.0	6.0	6.0	5.0	8.0	5.0	6.0	2.0	2.0	3.0	6.0	6.0	3.0	4.0
alpha_rarefaction_10_4.txt	10	4	3.0	7.0	7.0	6.0	4.0	5.0	7.0	7.0	7.0	3.0	7.0	8.0	7.0	8.0	3.0	5.0	3.0	7.0	7.0	2.0	2.0	5.0	8.0	4.0	5.0	7.0	3.0	3.0	7.0	8.0	9.0	7.0	6.0	5.0	4.0	2.0	7.0	4.0	4.0	5.0	10.0	4.0	8.0	5.0	3.0	2.0	6.0	5.0	6.0	3.0
alpha_rarefaction_10_5.txt	10	5	7.0	4.0	8.0	6.0	2.0	6.0	9.0	6.0	5.0	4.0	8.0	6.0	6.0	8.0	3.0	7.0	5.0	6.0	8.0	3.0	4.0	5.0	6.0	3.0	6.0	7.0	3.0	2.0	6.0	8.0	6.0	5.0	9.0	6.0	5.0	3.0	3.0	6.0	2.0	10.0	8.0	5.0	5.0	2.0	4.0	2.0	7.0	7.0	7.0	5.0
alpha_rarefaction_10_6.txt	10	6	6.0	5.0	5.0	8.0	3.0	7.0	7.0	8.0	7.0	2.0	7.0	8.0	6.0	7.0	3.0	8.0	3.0	3.0	4.0	3.0	3.0	6.0	4.0	5.0	4.0	6.0	4.0	4.0	6.0	9.0	8.0	6.0	7.0	6.0	4.0	3.0	5.0	3.0	3.0	6.0	9.0	7.0	8.0	3.0	2.0	3.0	6.0	8.0	5.0	5.0
alpha_rarefaction_10_7.txt	10	7	7.0	7.0	7.0	5.0	3.0	4.0	6.0	6.0	6.0	4.0	7.0	6.0	5.0	8.0	3.0	5.0	4.0	4.0	4.0	2.0	5.0	4.0	6.0	5.0	5.0	7.0	4.0	2.0	5.0	8.0	6.0	5.0	9.0	4.0	5.0	3.0	5.0	4.0	3.0	7.0	8.0	7.0	9.0	3.0	2.0	2.0	6.0	7.0	6.0	4.0
alpha_rarefaction_10_8.txt	10	8	6.0	6.0	6.0	8.0	4.0	5.0	7.0	6.0	6.0	4.0	4.0	5.0	6.0	7.0	5.0	4.0	3.0	6.0	5.0	3.0	2.0	3.0	7.0	4.0	3.0	7.0	3.0	2.0	8.0	7.0	7.0	2.0	8.0	4.0	3.0	4.0	6.0	4.0	2.0	8.0	9.0	8.0	5.0	4.0	3.0	2.0	7.0	7.0	6.0	5.0
alpha_rarefaction_10_9.txt	10	9	7.0	5.0	8.0	8.0	2.0	7.0	6.0	6.0	5.0	4.0	5.0	7.0	6.0	7.0	3.0	5.0	3.0	6.0	6.0	3.0	2.0	4.0	7.0	7.0	5.0	5.0	3.0	1.0	6.0	7.0	6.0	5.0	7.0	3.0	5.0	2.0	5.0	3.0	2.0	6.0	10.0	8.0	7.0	4.0	3.0	3.0	5.0	6.0	8.0	5.0
alpha_rarefaction_590_0.txt	590	0	56.0	33.0	44.0	48.0	29.0	22.0	29.0	33.0	37.0	22.0	57.0	34.0	47.0	52.0	23.0	37.0	29.0	41.0	19.0	14.0	18.0	20.0	33.0	28.0	26.0	37.0	30.0	17.0	53.0	79.0	56.0	41.0	53.0	22.0	33.0	14.0	28.0	26.0	33.0	64.0	84.0	36.0	59.0	20.0	23.0	11.0	27.0	35.0	50.0	20.0
alpha_rarefaction_590_1.txt	590	1	57.0	35.0	40.0	51.0	32.0	21.0	28.0	37.0	32.0	18.0	50.0	43.0	34.0	48.0	27.0	37.0	32.0	32.0	21.0	16.0	16.0	14.0	30.0	23.0	25.0	40.0	31.0	18.0	58.0	83.0	59.0	39.0	47.0	27.0	35.0	14.0	28.0	29.0	32.0	57.0	72.0	31.0	62.0	21.0	22.0	14.0	24.0	36.0	51.0	23.0
alpha_rarefaction_590_2.txt	590	2	54.0	37.0	39.0	50.0	39.0	22.0	28.0	33.0	41.0	23.0	49.0	39.0	43.0	53.0	21.0	42.0	30.0	34.0	21.0	14.0	21.0	16.0	30.0	28.0	24.0	42.0	32.0	20.0	52.0	81.0	61.0	39.0	47.0	22.0	34.0	14.0	21.0	28.0	30.0	64.0	87.0	31.0	60.0	23.0	25.0	10.0	30.0	31.0	53.0	20.0
