OTU ID	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285	KEGG_Pathways
"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation"	2	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	0	0	0	0	0	5	0	0	0	1	0	0	0	0	8	0	0	0	0	0	"Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation"
ABC transporters	71461	24159	95436	43364	153234	102670	27989	90954	34984	12026	49820	32593	131994	371084	75944	19714	41592	49687	5027	65179	12002	32205	66392	61930	32558	187525	10418	17392	37592	55279	56372	53679	238653	34318	17603	84400	118359	151728	140666	201328	122580	30646	46899	91570	6674	68270	22664	36185	91562	47887	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	2136	1012	766	561	598	2352	1992	1476	3161	726	1423	1125	982	4347	103	94	1769	1548	134	3470	94	404	157	3156	1541	1577	354	120	974	2421	764	1893	1052	15	654	9023	31	8345	6282	1213	2007	1790	1086	68	100	7056	1162	1445	3016	2473	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	313	212	118	20	4	4	53	115	49	17	251	273	248	615	6	42	427	371	22	867	3	8	255	787	368	307	68	32	67	21	96	438	33	3	144	6	19	2067	1551	96	194	376	262	393	3	3	72	317	665	632	Human Diseases; Infectious Diseases; African trypanosomiasis
"Alanine, aspartate and glutamate metabolism"	23001	6852	14867	12173	18973	38105	19508	28867	27969	7109	15010	9121	35595	91928	19032	5070	12368	14498	1708	20102	3099	8573	10182	18835	9872	47689	3706	4718	16197	30216	15793	16451	57174	7877	5454	88478	27499	47223	41939	51796	32917	12535	12523	13428	1829	69533	11229	10212	27840	14474	"Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism"
Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	904	331	600	518	732	1400	671	1097	896	241	682	435	1495	3664	784	233	550	659	66	929	147	366	689	868	469	1956	167	213	669	982	614	700	2275	319	230	2285	1143	2154	1881	2122	1382	553	616	905	79	1805	447	489	1213	698	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	3890	685	5234	3038	9067	8557	3027	6355	4544	1252	2302	1025	7835	24508	4480	902	954	1854	294	1159	782	865	2982	1243	730	12110	590	1167	1929	4786	3508	2036	16434	2234	699	11410	7744	2664	4017	6164	6748	1282	2153	4124	334	8938	1725	1174	4315	852	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	28696	9712	20672	17201	27580	45037	22698	34290	31101	8140	20923	12458	44524	121315	23362	6656	16533	20115	2030	27076	4726	11069	16960	25188	13593	59594	4858	6528	21735	33642	18962	20907	74447	9556	6904	82022	34082	62723	55216	70458	44904	17116	18596	21955	2651	64820	13227	13660	36257	19447	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
Amino sugar and nucleotide sugar metabolism	31714	9484	32447	13962	44467	58294	31527	41153	42961	11176	23699	14670	50866	125247	30993	8382	17275	20285	2344	27264	3673	11782	18997	25515	14155	63686	4938	7674	22558	41831	21966	23244	77795	10918	7528	117931	37090	64604	56751	78856	46974	18071	18147	25243	2180	92440	15799	15154	37860	19623	Metabolism; Carbohydrate Metabolism; Amino sugar and nucleotide sugar metabolism
Aminoacyl-tRNA biosynthesis	23010	8788	16655	12660	21487	31685	15913	25698	20326	5507	17177	11422	36710	98033	19605	6099	14840	17397	1632	25128	3799	9130	11444	23190	12689	47066	4197	5343	17347	23256	14856	18291	58122	7331	5894	50377	26300	57744	49401	55527	35977	15050	15402	13731	2120	39957	9611	11578	31427	17929	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
Aminobenzoate degradation	1645	404	2446	1294	4573	2335	2492	1481	4210	828	1408	915	1147	5548	1533	730	729	923	86	1043	318	708	1516	926	622	960	362	364	1754	2470	573	775	2223	82	234	6805	264	2390	2017	2900	2649	849	944	1780	149	5338	987	708	1501	952	Metabolism; Xenobiotics Biodegradation and Metabolism; Aminobenzoate degradation
Amoebiasis	82	5	282	23	546	142	284	174	583	86	110	3	6	1806	5	12	18	12	1	0	0	0	20	1	1	120	6	7	34	65	29	12	785	6	12	1	3	13	24	168	328	15	35	2	8	0	1	16	104	0	Human Diseases; Infectious Diseases; Amoebiasis
Amyotrophic lateral sclerosis (ALS)	243	55	413	38	569	807	175	742	99	64	203	22	1225	1183	487	76	60	59	30	4	72	35	591	21	28	1464	32	71	24	123	398	236	1148	315	67	22	1125	55	323	542	510	28	261	798	37	80	332	135	225	35	Human Diseases; Neurodegenerative Diseases; Amyotrophic lateral sclerosis (ALS)
Antigen processing and presentation	569	56	452	484	682	1396	568	973	837	224	326	57	1210	3041	539	103	116	178	43	8	93	357	256	70	45	1629	105	190	409	927	513	265	2239	312	81	2278	1048	90	324	1964	1178	155	239	473	48	1801	256	154	533	19	Organismal Systems; Immune System; Antigen processing and presentation
Apoptosis	9	16	0	2	13	0	0	0	0	0	0	1	5	2	2	1	1	106	1	54	3	0	53	4	53	10	2	4	0	4	0	0	1	0	0	0	3	4	12	0	1	0	0	10	0	0	14	8	4	30	Cellular Processes; Cell Growth and Death; Apoptosis
Arachidonic acid metabolism	156	97	70	345	166	2	18	16	42	2	172	127	66	147	292	118	18	129	14	55	70	9	635	86	61	40	44	191	141	593	66	25	63	9	13	2268	123	92	94	22	127	42	293	882	70	1757	393	223	59	93	Metabolism; Lipid Metabolism; Arachidonic acid metabolism
Arginine and proline metabolism	23948	6589	17260	16305	24238	38866	20200	29148	29755	7340	16623	8987	35851	107552	18965	5199	12177	14648	1667	18458	4027	10325	14793	17523	9065	48078	3906	4968	17714	30681	15816	15714	67314	8000	5245	81756	28085	43616	39316	58323	40308	11748	14383	19773	2210	64790	11181	10200	28624	13565	Metabolism; Amino Acid Metabolism; Arginine and proline metabolism
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Human Diseases; Cardiovascular Diseases; Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Ascorbate and aldarate metabolism	3609	1230	4508	510	5815	8035	2200	6488	2437	915	2350	2022	8688	12908	5240	1029	2139	2392	320	3618	370	489	4567	3498	1617	13756	405	871	2489	2306	3802	3233	11446	2505	1134	4666	8731	9094	8944	6540	4401	2892	2515	6626	310	3656	1649	2147	4787	2599	Metabolism; Carbohydrate Metabolism; Ascorbate and aldarate metabolism
Atrazine degradation	242	42	584	376	1207	1	2	8	43	4	235	24	37	3077	21	1	56	340	2	115	31	3	942	19	69	233	19	18	79	148	62	22	1611	22	7	5	34	64	53	189	665	6	223	1179	31	1	105	135	222	60	Metabolism; Xenobiotics Biodegradation and Metabolism; Atrazine degradation
Bacterial chemotaxis	6310	956	10072	5924	19511	6620	716	5917	2261	545	5017	1425	7927	25772	4045	1042	2219	1988	301	1846	1098	4321	6812	2391	916	13102	767	1975	6213	4141	4007	2384	18555	2702	838	2545	8472	4899	5859	55651	15342	582	3423	10916	343	2195	1144	2300	5020	1871	Cellular Processes; Cell Motility; Bacterial chemotaxis
Bacterial invasion of epithelial cells	0	1	11	0	12	0	0	0	0	1	0	24	1	1	0	0	2	0	0	0	0	0	38	11	0	1	1	26	0	2	0	0	6	1	1	1	1	14	19	0	6	3	10	8	2	5	14	10	3	11	Human Diseases; Infectious Diseases; Bacterial invasion of epithelial cells
Bacterial motility proteins	10593	1866	18446	10327	36338	4615	2466	4699	6517	893	11082	2907	6405	22989	2593	1670	3707	2051	304	2672	1986	6121	21188	4185	1380	7892	2028	5089	13552	5625	3292	2858	13795	1805	889	515	4950	8754	8341	96205	26849	2228	7766	33905	587	479	3188	5648	6113	3300	Cellular Processes; Cell Motility; Bacterial motility proteins
Bacterial secretion system	10121	3378	6557	6695	8801	18876	8338	14020	12220	3274	7106	4192	16835	40302	9336	2473	5156	6516	714	8504	1798	4007	12084	8145	4381	23641	1812	2875	6607	11409	7336	6928	27370	4145	2400	25255	15009	19839	18334	23053	15237	5116	6855	16920	973	19880	5641	5592	12092	6598	Environmental Information Processing; Membrane Transport; Bacterial secretion system
Bacterial toxins	3554	1392	2679	1242	2856	5454	3340	4672	4146	1081	2351	1960	7717	13795	3402	1014	2642	2883	321	4583	362	1129	1400	4199	2378	8356	576	840	1846	3615	2631	3603	7895	1255	1055	11352	4340	10668	9153	4514	4455	2896	2112	993	193	8907	1241	1854	5295	3285	Environmental Information Processing; Signaling Molecules and Interaction; Bacterial toxins
Basal transcription factors	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	64	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	Genetic Information Processing; Transcription; Basal transcription factors
Base excision repair	8105	2547	6764	4695	9493	13103	6270	10436	8584	2220	5848	3641	14346	38435	8652	2448	4287	5523	596	6688	1251	2958	5802	6286	3586	18911	1352	2148	5623	9204	5858	5796	24636	3179	1858	20576	11102	15471	14234	18476	13111	4214	5043	7458	796	16245	3948	3835	9960	4842	Genetic Information Processing; Replication and Repair; Base excision repair
Benzoate degradation	3467	976	4116	4136	7045	4381	2573	3606	3426	805	2760	1516	5525	14136	3663	1274	1531	1864	224	1994	946	1784	3405	2044	1179	5920	791	1147	3244	4199	2099	1983	7382	1046	586	9148	3863	4688	4549	4913	5878	1551	2604	4937	503	7271	1651	1440	3631	1782	Metabolism; Xenobiotics Biodegradation and Metabolism; Benzoate degradation
Betalain biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Metabolism; Biosynthesis of Other Secondary Metabolites; Betalain biosynthesis
Bile secretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Digestive System; Bile secretion
Biosynthesis and biodegradation of secondary metabolites	1078	127	1346	802	2332	2776	914	1856	1488	429	608	178	1831	5663	1198	205	171	362	71	65	147	674	2842	99	56	3274	111	196	694	1645	1002	387	4388	651	163	4531	2252	252	788	2757	1828	349	674	4323	74	3569	768	608	622	159	Unclassified; Metabolism; Biosynthesis and biodegradation of secondary metabolites
